iter	Passed	Remaining
836	88866	70392
837	88957	70274
838	89048	70156
839	89147	70044
840	89240	69927
841	89334	69812
842	89426	69695
843	89512	69573
844	89603	69455
845	89695	69339
846	89796	69228
847	89890	69113
848	89981	68996
849	90108	68906
850	90304	68869
851	90497	68828
852	90706	68800
853	90845	68719
854	90964	68622
855	91147	68573
856	91284	68490
857	91379	68374
858	91472	68258
859	91607	68173
860	91733	68080
861	91829	67966
862	91921	67849
863	92035	67748
864	92211	67692
865	92345	67606
866	92441	67491
867	92533	67374
868	92633	67263
869	92730	67149
870	92818	67029
871	92912	66914
872	93019	66807
873	93138	66709
874	93232	66594
875	93382	66519
876	93536	66446
877	93686	66369
878	93808	66274
879	93962	66200
880	94083	66103
881	94173	65985
882	94272	65873
883	94364	65755
884	94504	65672
885	94689	65620
886	94864	65560
887	95073	65523
888	95216	65441
889	95375	65369
890	95564	65318
891	95746	65261
892	95879	65172
893	96029	65093
894	96254	65065
895	96455	65021
896	96650	64972
897	96858	64931
898	97054	64883
899	97235	64823
900	97399	64752
901	97526	64657
902	97616	64536
903	97707	64417
904	97864	64342
905	98044	64280
906	98225	64220
907	98435	64178
908	98602	64107
909	98809	64063
910	99010	64014
911	99192	63952
912	99308	63848
913	99399	63728
914	99486	63605
915	99580	63488
916	99677	63372
917	99773	63254
918	99861	63133
919	99952	63013
920	100045	62894
921	100127	62769
922	100218	62650
923	100314	62533
924	100408	62415
925	100503	62298
926	100585	62174
927	100684	62059
928	100773	61939
929	100897	61840
930	100999	61727
931	101104	61617
932	101249	61531
933	101464	61487
934	101606	61398
935	101700	61281
936	101801	61167
937	101894	61049
938	101992	60935
939	102085	60816
940	102202	60713
941	102292	60593
942	102383	60474
943	102468	60352
944	102560	60234
945	102657	60118
946	102752	60002
947	102848	59886
948	102952	59775
949	103051	59661
950	103146	59545
951	103254	59436
952	103406	59352
953	103610	59298
954	103794	59233
955	103982	59169
956	104187	59115
957	104378	59053
958	104503	58953
959	104594	58834
960	104687	58716
961	104774	58595
962	104861	58474
963	104952	58355
964	105041	58235
965	105201	58154
966	105407	58099
967	105605	58039
968	105797	57975
969	105896	57860
970	105992	57744
971	106081	57624
972	106175	57507
973	106261	57385
974	106357	57269
975	106442	57147
976	106547	57036
977	106646	56921
978	106788	56830
979	106902	56723
980	106995	56606
981	107099	56494
982	107291	56429
983	107411	56325
984	107519	56215
985	107620	56102
986	107733	55994
987	107833	55881
988	107961	55782
989	108083	55679
990	108196	55572
991	108300	55460
992	108400	55346
993	108496	55230
994	108595	55116
995	108682	54995
996	108779	54880
997	108917	54785
998	109040	54683
999	109157	54578
1000	109262	54467
1001	109357	54351
1002	109463	54240
1003	109573	54132
1004	109677	54020
1005	109778	53907
1006	109878	53793
1007	109979	53680
1008	110083	53568
1009	110182	53454
1010	110279	53340
1011	110363	53219
1012	110457	53102
1013	110555	52988
1014	110644	52869
1015	110731	52750
1016	110828	52635
1017	110922	52519
1018	111023	52406
1019	111125	52294
1020	111223	52180
1021	111322	52066
1022	111414	51949
1023	111504	51832
1024	111585	51710
1025	111678	51594
1026	111775	51479
1027	111873	51366
1028	111967	51250
1029	112136	51168
1030	112317	51092
1031	112448	50994
1032	112570	50890
1033	112687	50785
1034	112801	50679
1035	112919	50574
1036	113027	50464
1037	113127	50351
1038	113221	50236
1039	113316	50120
1040	113421	50010
1041	113517	49895
1042	113612	49780
1043	113711	49667
1044	113811	49554
1045	113902	49437
1046	114010	49328
1047	114125	49221
1048	114247	49118
1049	114375	49017
1050	114492	48912
1051	114616	48810
1052	114728	48702
1053	114823	48587
1054	114921	48473
1055	115029	48364
1056	115143	48257
1057	115256	48150
1058	115355	48037
1059	115451	47923
1060	115551	47810
1061	115652	47698
1062	115759	47588
1063	115866	47479
1064	115959	47363
1065	116065	47253
1066	116159	47138
1067	116256	47025
1068	116352	46911
1069	116441	46794
1070	116527	46676
1071	116617	46559
1072	116705	46442
1073	116799	46328
1074	116898	46215
1075	117006	46106
1076	117103	45993
1077	117204	45881
1078	117301	45768
1079	117415	45661
1080	117513	45548
1081	117618	45438
1082	117713	45324
1083	117811	45211
1084	117912	45100
1085	118005	44985
1086	118099	44871
1087	118187	44754
1088	118277	44639
1089	118369	44524
1090	118466	44411
1091	118566	44299
1092	118663	44186
1093	118769	44077
1094	118865	43964
1095	118962	43851
1096	119058	43738
1097	119157	43625
1098	119269	43518
1099	119373	43408
1100	119468	43295
1101	119578	43187
1102	119674	43074
1103	119771	42961
1104	119867	42848
1105	119967	42737
1106	120068	42626
1107	120166	42513
1108	120268	42402
1109	120370	42292
1110	120465	42179
1111	120557	42065
1112	120650	41951
1113	120746	41838
1114	120846	41727
1115	120935	41612
1116	121026	41498
1117	121115	41382
1118	121210	41270
1119	121304	41156
1120	121400	41044
1121	121494	40931
1122	121596	40820
1123	121689	40707
1124	121781	40593
1125	121901	40489
1126	121999	40377
1127	122094	40265
1128	122190	40152
1129	122282	40039
1130	122376	39926
1131	122475	39815
1132	122564	39700
1133	122658	39588
1134	122755	39476
1135	122849	39363
1136	122947	39252
1137	123074	39150
1138	123169	39037
1139	123268	38926
1140	123365	38815
1141	123541	38728
1142	123698	38635
1143	123813	38529
1144	123947	38429
1145	124040	38316
1146	124147	38207
1147	124245	38096
1148	124340	37983
1149	124447	37875
1150	124547	37764
1151	124649	37654
1152	124744	37542
1153	124845	37432
1154	124941	37320
1155	125072	37218
1156	125205	37118
1157	125349	37020
1158	125511	36927
1159	125632	36823
1160	125772	36724
1161	125928	36629
1162	126026	36518
1163	126115	36404
1164	126211	36292
1165	126319	36184
1166	126412	36071
1167	126514	35961
1168	126611	35849
1169	126710	35738
1170	126813	35629
1171	126909	35517
1172	127006	35405
1173	127109	35296
1174	127200	35183
1175	127304	35073
1176	127409	34964
1177	127503	34852
1178	127606	34742
1179	127703	34631
1180	127801	34520
1181	127900	34409
1182	127993	34297
1183	128082	34184
1184	128176	34072
1185	128266	33959
1186	128362	33847
1187	128454	33735
1188	128543	33622
1189	128639	33511
1190	128737	33400
1191	128830	33288
1192	128922	33176
1193	129025	33066
1194	129119	32955
1195	129253	32853
1196	129448	32767
1197	129638	32680
1198	129753	32573
1199	129851	32462
1200	130007	32366
1201	130128	32261
1202	130237	32153
1203	130378	32053
1204	130538	31957
1205	130688	31859
1206	130793	31750
1207	130884	31637
1208	131032	31538
1209	131166	31436
1210	131290	31331
1211	131459	31237
1212	131650	31149
1213	131810	31052
1214	131922	30944
1215	132134	30860
1216	132308	30766
1217	132451	30666
1218	132554	30556
1219	132654	30445
1220	132747	30333
1221	132850	30222
1222	132951	30112
1223	133051	30001
1224	133142	29889
1225	133234	29776
1226	133325	29664
1227	133482	29566
1228	133682	29477
1229	133836	29378
1230	133927	29265
1231	134018	29153
1232	134137	29046
1233	134229	28934
1234	134330	28824
1235	134418	28710
1236	134516	28599
1237	134660	28498
1238	134887	28414
1239	135075	28322
1240	135250	28227
1241	135473	28141
1242	135585	28033
1243	135683	27922
1244	135780	27810
1245	135951	27714
1246	136100	27613
1247	136240	27510
1248	136382	27407
1249	136537	27307
1250	136690	27206
1251	136801	27097
1252	136896	26985
1253	136993	26874
1254	137092	26763
1255	137195	26652
1256	137294	26541
1257	137393	26430
1258	137493	26319
1259	137631	26215
1260	137824	26122
1261	138034	26031
1262	138204	25933
1263	138359	25832
1264	138539	25736
1265	138745	25644
1266	138968	25556
1267	139171	25463
1268	139298	25356
1269	139399	25245
1270	139496	25133
1271	139592	25021
1272	139692	24909
